home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
Sweden,Wales,30287,Group stage,Sweden,1958,1958-06-15,0,0,draw,,,,,,,,,62.87979807692308,59.99270048076925,2.887097596153829
Czechoslovakia,Argentina,16418,Group stage,Sweden,1958,1958-06-15,6,1,home_win,,,,,,,,,,67.99343846153849,
Paraguay,Yugoslavia,13103,Group stage,Sweden,1958,1958-06-15,3,3,draw,,,,,,,,,61.38765480769232,,
Brazil,Soviet Union,50928,Group stage,Sweden,1958,1958-06-15,2,0,home_win,,,,,,,,,71.18102653846155,,
England,Austria,15872,Group stage,Sweden,1958,1958-06-15,2,2,draw,,,,,,,,,68.18326346153846,63.952364230769234,4.230899230769225
France,Scotland,13554,Group stage,Sweden,1958,1958-06-15,2,1,home_win,,,,,,,,,69.714,62.71133875,7.002661249999996
West Germany,Northern Ireland,21990,Group stage,Sweden,1958,1958-06-15,2,2,draw,,,,,,,,,,57.40677173076923,
Hungary,Mexico,13300,Group stage,Sweden,1958,1958-06-15,4,0,home_win,,,,,,,,,57.00994596153846,64.15167115384617,-7.141725192307703
Northern Ireland,Czechoslovakia,6196,Group stage play-off,Sweden,1958,1958-06-17,2,1,home_win,,,,,,,,,57.40677173076923,,
Soviet Union,England,23182,Group stage play-off,Sweden,1958,1958-06-17,1,0,home_win,,,,,,,,,,68.18326346153846,
Wales,Hungary,2823,Group stage play-off,Sweden,1958,1958-06-17,2,1,home_win,,,,,,,,,59.99270048076925,57.00994596153846,2.982754519230788
Sweden,Soviet Union,31900,Quarter-finals,Sweden,1958,1958-06-19,2,0,home_win,,,,,,,,,62.87979807692308,,
Brazil,Wales,25923,Quarter-finals,Sweden,1958,1958-06-19,1,0,home_win,,,,,,,,,71.18102653846155,59.99270048076925,11.1883260576923
West Germany,Yugoslavia,20055,Quarter-finals,Sweden,1958,1958-06-19,1,0,home_win,,,,,,,,,,,
France,Northern Ireland,11800,Quarter-finals,Sweden,1958,1958-06-19,4,0,home_win,,,,,,,,,69.714,57.40677173076923,12.30722826923077
Brazil,France,27100,Semi-finals,Sweden,1958,1958-06-24,5,2,home_win,,,,,,,,,71.18102653846155,69.714,1.4670265384615533
Sweden,West Germany,49471,Semi-finals,Sweden,1958,1958-06-24,3,1,home_win,,,,,,,,,62.87979807692308,,
France,West Germany,32483,Third-place match,Sweden,1958,1958-06-28,6,3,home_win,,,,,,,,,69.714,,
Brazil,Sweden,49737,Final,Sweden,1958,1958-06-29,5,2,home_win,,,,,,,,,71.18102653846155,62.87979807692308,8.301228461538471
Uruguay,Colombia,7908,Group stage,Chile,1962,1962-05-30,2,1,home_win,,,,,,,,,65.00322653846155,64.20907144230769,0.7941550961538582
Chile,Switzerland,65006,Group stage,Chile,1962,1962-05-30,3,1,home_win,,,,,,,,,63.52331596153847,64.68190576923077,-1.1585898076922945
Argentina,Bulgaria,7134,Group stage,Chile,1962,1962-05-30,1,0,home_win,,,,,,,,,67.99343846153849,52.81303951923076,15.180398942307725
Brazil,Mexico,10484,Group stage,Chile,1962,1962-05-30,2,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386
Czechoslovakia,Spain,12700,Group stage,Chile,1962,1962-05-31,1,0,home_win,,,,,,,,,,71.50423846153845,
Hungary,England,7938,Group stage,Chile,1962,1962-05-31,2,1,home_win,,,,,,,,,57.00994596153846,68.18326346153846,-11.173317499999996
West Germany,Italy,65440,Group stage,Chile,1962,1962-05-31,0,0,draw,,,,,,,,,,68.45827307692308,
Soviet Union,Yugoslavia,9622,Group stage,Chile,1962,1962-05-31,2,0,home_win,,,,,,,,,,,
