home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Brazil,Yugoslavia,24637,Group stage,Switzerland,1954,1954-06-19,1,1,draw,,,,,,,,,71.18102653846155,,,4,0,1,21,4,12,3,0,2,9,9,9,3,12,5
Uruguay,Scotland,34000,Group stage,Switzerland,1954,1954-06-19,7,0,home_win,,,,,,,,,65.00322653846155,62.71133875,2.291887788461544,4,1,0,17,5,13,0,0,1,0,1,0,13,17,-4
Turkey,South Korea,4000,Group stage,Switzerland,1954,1954-06-20,7,0,home_win,,,,,,,,,63.71142807692308,,,0,0,1,1,4,0,0,0,1,0,9,0,0,1,5
Hungary,Germany,56000,Group stage,Switzerland,1954,1954-06-20,8,3,home_win,,,,,,,,,57.00994596153846,69.83241730769232,-12.82247134615386,4,0,1,24,5,12,2,1,2,11,11,7,5,13,6
Italy,Belgium,24000,Group stage,Switzerland,1954,1954-06-20,4,1,home_win,,,,,,,,,68.45827307692308,67.93338076923077,0.524892307692312,3,0,2,11,8,9,0,1,4,7,16,1,8,4,8
Switzerland,England,43500,Group stage,Switzerland,1954,1954-06-20,0,2,away_win,,,,,,,,,64.68190576923077,68.18326346153846,-3.501357692307693,2,1,2,6,9,7,1,1,2,6,6,4,3,0,-3
Germany,Turkey,17000,Group stage play-off,Switzerland,1954,1954-06-23,7,2,home_win,,,,,,,,,69.83241730769232,63.71142807692308,6.120989230769247,2,1,2,13,16,7,1,0,1,8,4,3,4,5,-12
Switzerland,Italy,30000,Group stage play-off,Switzerland,1954,1954-06-23,4,1,home_win,,,,,,,,,64.68190576923077,68.45827307692308,-3.776367307692311,2,1,2,6,9,7,3,0,2,13,8,9,-2,-7,-1
Switzerland,Austria,35000,Quarter-finals,Switzerland,1954,1954-06-26,5,7,away_win,,,,,,,,,64.68190576923077,63.952364230769234,0.7295415384615325,3,1,1,10,7,10,3,0,2,10,5,9,1,0,-2
Uruguay,England,28000,Quarter-finals,Switzerland,1954,1954-06-26,4,2,home_win,,,,,,,,,65.00322653846155,68.18326346153846,-3.180036923076912,4,1,0,16,5,13,2,1,2,8,6,7,6,8,1
